name,SMILES
PEG 5000,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC*
OMe-CIN,COC1=CC=C(C=C1)/C=C/C(=O)O
"3,4-OMe-CIN",COC1=C(C=C(C=C1)/C=C/C(=O)O)OC
N-CIN,C1=CC=C(C(=C1)/C=C/C(=O)O)[N+](=O)[O-]
BiPhAc,C1=CC=C(C=C1)C2=CC=CC=C2CC(=O)O
Pac,O=C(O)Cc1ccccc1
CAA,C(C(=O)O)Cl
FeC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Fe+2]
RuC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Ru+2]
7-Me-C8,CC(C)CCCCCC(=O)O
DiPhAc,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)O
5-Me-C6,CC(C)CCCC(=O)O
OIle,CC[C@@H](C)[C@H](C(=O)O)O
OVal,CC(C)C(C(=O)O)O
"(E)2,4,6-C8",C/C=C/C=C/C=C/C(=O)O
SA,C(\C=C\C=C\C)(=O)O
Oxo-SA,O=C/C=C/C=C/C(=O)O
"6,7-OH-(E)2,4-C8",CC(C(C=CC=CC(=O)O)O)O
3-OH-4-Me-C10,CCCCCC[C@H](C)[C@H](CC(=O)O)O
3-OH-4-Me-C8,CCCCC(C)C(CC(=O)O)O
(E)2-C4-Thz-Dtena,OC(C(C(=O)O)C)CC(CC(C(CC=1SCC(N1)C(C(=C)C)=O)(C)C)O)C
 OLeu,CC(C)CC(C(=O)O)O
3-OH-C13,CCCCCCCCCCC(CC(=O)O)O
3-OH-C20,OC(CC(=O)O)CCCCCCCCCCCCCCCCC
D-OIle,O[C@@H](C(=O)O)C(CC)C
D-OVal,CC(C)[C@H](C(=O)O)O
MeO-Oya-2-ene,COC(=CC(=O)O)CCCC#C
Keto-Oya,O=C(CC(=O)O)CCCC#C
"4,4-Cl-3-Me-C4",CC(CC(=O)O)C(Cl)Cl
Hmoya,OC(C(C(=O)O)C)C#CCCC
"2,4-Me-C8",CCCCC(C)CC(C)C(=O)O
PIV,CC(C)(C)C(=O)O
3-OH-12-Me-C14,CCC(C)CCCCCCCCC(CC(=O)O)O
"3-OH-9,11-Me-C14",OC(CC(=O)O)CCCCCC(CC(CCC)C)C
MeOya,CC(C(=O)O)=CCCC#CC
D-OPhe,C1=CC=C(C=C1)C[C@H](C(=O)O)O
MeOAc,COCC(=O)O
2-Me-3-OH-C9,CC(C(=O)O)C(CCCCCC)O
"3-OH-2,4-Me-C10",CCCCCCC(C)C(C(C)C(=O)O)O
"3-OH-2,4,6-Me-C12",OC(C(C(=O)O)C)C(CC(CCCCCC)C)C
12-Me-(E)3-C13,CC(CCCCCCCC=CCC(=O)O)C
8-Me-C9,CC(C)CCCCCCC(=O)O
2-OH-C8,CCCCCCC(C(=O)O)O
PyBA,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCC(=O)O
6-Pha,C1=CC=C(C=C1)CCCCCC(=O)O
BCHC,C1[C@@H]2C[C@@H]([C@H]1C=C2)C(=O)O
PCPC,C1CC1(C2=CC=CC=C2)C(=O)O
AdCA,C1C2CC3CC1CC(C2)(C3)C(=O)O
Di-BrPh-PY,BrC1=CC=C(C=C1)C1=NC(=CC(=C1)C(=O)O)C1=CC=C(C=C1)Br
6-Me-C7,CC(C)CCCCC(=O)O
2-ClPhNHCO,ClC1=C(C(=O)O)C=CC=C1
PhBz,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O
PhOBz,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O
Ph-4-PhNHCO,C(O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1
HIP,OC(C(=O)O)(C)C(CC(C)C)=O
3-OH-C18,CCCCCCCCCCCCCCCC(CC(=O)O)O
2-Cl-Bz,ClC1=C(C(=O)O)C=CC=C1
"2,6-Cl-Bz",ClC1=C(C(=O)O)C(=CC=C1)Cl
"2,4-Cl-Bz",ClC1=C(C(=O)O)C=CC(=C1)Cl
3-Cl-Bz,ClC=1C=C(C(=O)O)C=CC1
4-Cl-Bz,ClC1=CC=C(C(=O)O)C=C1
"3,5-Cl-Bz",ClC=1C=C(C(=O)O)C=C(C1)Cl
4-Me-Bz,CC1=CC=C(C(=O)O)C=C1
4-Cl-2-F-Bz,ClC1=CC(=C(C(=O)O)C=C1)F
2-Cl-4-F-Bz,ClC1=C(C(=O)O)C=CC(=C1)F
BPh,C1=CC=C(C=C1)C2=CC=CC=C2
3-OH-C12,CCCCCCCCCC(CC(=O)O)O
3-OH-C10,CCCCCCCC(CC(=O)O)O
18:1 cis-9,CCCCCCCC/C=C\CCCCCCCC(=O)O
CoC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Co+2]
OsC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Os+2]
PEG 3,OCCOCCOCC*
GlcA,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
PcC(O)Zn,C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC(=CC6=C(N5)N=C7C8=CC=CC=C8C(=N7)N=C2N3)C(=O)O)C9=CC=CC=C94.[Zn+2]
Pyr,CC(=O)C(=O)O
3-OH-14-Me-C15,OC(CC(=O)O)CCCCCCCCCCC(C)C
5-OH-C14,CCCCCCCCCC(CCCC(=O)O)O
2-Me-C4,CCC(C)C(=O)O
3-OH-C8,CCCCCC(CC(=O)O)O
(E)5-C12,CCCCCCCCC/C=C/C(=O)O
Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
LA,C1CSS[C@@H]1CCCCC(=O)O
"5-OH-2,4-Me-3-oxo-C8",CCCC(C(C)C(=O)C(C)C(=O)O)O
3-OH-C15,CCCCCCCCCCCCC(CC(=O)O)O
3-OH-QUA,C1=CC=C2C(=C1)C=C(C(=N2)C(=O)O)O
QUI,N1=C(C=NC2=CC=CC=C12)C(=O)O
8-Me-C9:2,CC(CCC=CC=CC(=O)O)C
8-Me-C10:2,CC(CCC=CC=CC(=O)O)CC
"2,6-OMe-Bz",COC1=C(C(=CC=C1)OC)C(=O)O
"(E)2,4-C8",CCCC=CC=CC(=O)O
"6-Me-(E)2,4-C8",CC(C=CC=CC(=O)O)CC
10-Me-C11,CC(C)CCCCCCCCC(=O)O
14-Me-C15,CC(C)CCCCCCCCCCCCC(=O)O
9-Me-C10,CC(C)CCCCCCCC(=O)O
10-Me-C12,CCC(C)CCCCCCCCC(=O)O
12-Me-C13,CC(C)CCCCCCCCCCC(=O)O
12-Me-C14,CCC(C)CCCCCCCCCCC(=O)O
TERT-BU-Me-PyCA,CC1=NC(=NC=C1C(=O)O)C2=CC=C(C=C2)C(C)(C)C
"4Me-3-OH-(E)8,10-C20",CC(C(=O)O)=C(C=CC(CCCC(CCCC(CCCCCC)C)C)C)O
"3-OH-2,11-Me-C14",OC(C(C(=O)O)C)CCCCCCCC(CCC)C
2-O-C4,CCC(=O)C(=O)O
2-OH-C3,CC(C(=O)O)O
PCHC,CCCCCC1CCC(CC1)C(=O)O
HBz,CCCCCCCC1=CC=C(C=C1)C(=O)O
PPCA,CCCCCC1=CC=C(C=C1)/C(=C/C(=O)O)/C
BPCA,C(CCC)C1=CC=C(C=C1)/C(=C/C(=O)O)/C
10-Me-(E)3-C11,CC(CCCCCC=CCC(=O)O)C
9-Me-(E)3-C10,CC(CCCCC=CCC(=O)O)C
"10,11-Me-(E)3-C12",CC(CCCCCC=CCC(=O)O)C(C)C
3-OH-11-Me-C12,OC(CC(=O)O)CCCCCCCC(C)C
3-OH-12-Me-C13,OC(CC(=O)O)CCCCCCCCC(C)C
3-OH-10-Me-C11,OC(CC(=O)O)CCCCCCC(C)C
"3,4-OH-C16",OC(CC(=O)O)C(CCCCCCCCCCCC)O
"3,4-OH-C14",OC(CC(=O)O)C(CCCCCCCCCC)O
3-OH-9-Me-C10,OC(CC(=O)O)CCCCCC(C)C
3-OH-11-Me-(E)7-C12,OC(CC(=O)O)CCCC=CCCC(C)C
3-OH-11-Me-(E)5-C12,OC(CC(=O)O)CC=CCCCCC(C)C
3-OH-(E)5-C12,CCCCCCC=CCC(CC(=O)O)O
D-OLeu,CC(C)C[C@H](C(=O)O)O
Dhoya,CC(C(=O)O)(C(CCCC#C)O)C
Dhoea,CC(C(=O)O)(C(CCCC=C)O)C
Dhoaa,CC(C(=O)O)(C(CCCCC)O)C
OPhe,C1=CC=C(C=C1)CC(C(=O)O)O
3-OH-5-Ph-(E)4-C5,OC(CC(=O)O)C=CC1=CC=CC=C1
Epd,C(C1C(CCCCCCC)O1)(=O)O
"3-OH-12,14-Me-C16",CCC(C)CC(C)CCCCCCCCC(CC(=O)O)O
3-OH-14-Me-C16,CCC(C)CCCCCCCCCCC(CC(=O)O)O
"2,6-Me-3,5,11-OH-C12",CC(C(=O)O)C(CC(C(CCCCC(C)O)C)O)O
"2,6-Me-3,5-OH-11-O-C12",CC(C(=O)O)C(CC(C(CCCCC(C)=O)C)O)O
MurNAc,C[C@H](C(=O)O)O[C@H]1[C@@H]([C@H](OC([C@@H]1NC(=O)C)O)CO)O
3-O-C8,CCCCCC(=O)CC(=O)O
3-O-C12,CCCCCCCCCC(=O)CC(=O)O
3-O-C14,CCCCCCCCCCCC(=O)CC(=O)O
3-O-C10,CCCCCCCC(=O)CC(=O)O
2-OH-(E)4-C5,C=CCC(C(=O)O)O
"4,5-epoxy-C5",C(CCC1CO1)(=O)O
"3,9-OH-C12",OC(CC(=O)O)CCCCCC(CCC)O
D-XA,C([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O
"3-OH-2,4-Me-C12",OC(C(C(=O)O)C)C(CCCCCCCC)C
"6-Ome-7-OH-(E)2,4-C8",OC(C(C=CC=CC(=O)O)OC)C
"5-COOH-(E)2,4-C6",C(=O)(O)C(=CC=CC(=O)O)C
"6-Ome-6-O-(E)2,4-C6",COC(=O)C=CC=CC(=O)O
"6,7-Ome-(E)2,4-C8",COC(C=CC=CC(=O)O)C(C)OC
(E)9-C16,CCCCCC/C=C/CCCCCCCC(=O)O
"N(3Me)-2-Me-3,19,21,23,25,27,30-OH-(E)11-C31",OC(C(C(=O)O)C)CCCCCCCCCCCC=CCCC(CC(CC(CC(CC(CCCC[N+](C)(C)C)O)O)O)O)O
2-OH-2-Me-4-O-C5,CC(=O)CC(C)(C(=O)O)O
"(E)4,6-2,6,8-Me-2,3-OH-C10",CC(C(=O)O)(C(C=CC(=CC(CC)C)C)O)O
"(E)4,6-2,6,8-Me-3-OH-C10",CC(C(=O)O)C(C=CC(=CC(CC)C)C)O
"3-OH-6,8-Me-(E)4-C9",OC(CC(=O)O)C=CC(CC(C)C)C
3-OH-Pic,C1=CC(=C(N=C1)C(=O)O)O
3-OH-C26,OC(CC(=O)O)CCCCCCCCCCCCCCCCCCCCCCC
(E)19-3-OH-C28,OC(=CC(=O)O)CCCCCCCCCCCCCCCCCCCCCCCCC
FA,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
COC3H6CO,O=CCCCC(=O)O
pNBA,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-]
